Id,Name,Text,type,all_points,X,Y,RadiusX,RadiusY,Width,Height,all_transforms
33702,"undefined","p53 signature","Polygon","69918.547,43782.031 69649.391,43731.559 69436.297,43465.199 69268.070,43330.621 69265.273,43162.398 69475.547,43120.340 69795.180,43207.262 69879.297,43358.660 69932.570,43608.199",-1,-1,-1,-1,-1,-1,-1
33703,"undefined","p53 signature","Polygon","71112.406,44840.520 70873.922,44812.461 70730.828,44806.852 70624.211,44770.371 70576.523,44632.891 70730.828,44509.441 70930.039,44400.020 71182.547,44512.250 71255.500,44680.590 71174.133,44787.211",-1,-1,-1,-1,-1,-1,-1
33704,"undefined","p53 signature","Polygon","71662.219,46449.461 71033.297,46612.301 70123.609,46876.219 69859.688,47134.531 69848.461,46954.840 70011.313,46668.461 70219.070,46500.000 71044.531,46286.609 71504.992,46309.078",-1,-1,-1,-1,-1,-1,-1
33705,"undefined","p53 signature","Ellipse","68562.547,45624.004 69618.234,45624.004 69090.391,44871.547 69090.391,46376.461",69090.38980888907,45624.00400516018,527.8420166477154,752.4556407531345,-1,-1,"-1,0,138180.77961777814,0,-1,91248.00801032037,0,0,1"
33706,"undefined","p53 signature","Polygon","59870.988,34282.480 60044.730,34433.941 60940.148,34099.828 60628.309,33975.090 60401.121,33912.730 60044.730,33961.730",-1,-1,-1,-1,-1,-1,-1
33707,"undefined","p53 signature","Polygon","78056.063,30142.551 77504.727,30524.240 76783.758,29676.039 76062.781,28926.789 74465.344,28304.779 73956.422,27852.400 74253.289,27725.170 74634.977,27739.311 76211.219,28707.670 77087.703,29357.961",-1,-1,-1,-1,-1,-1,-1
33708,"undefined","p53 signature","Polygon","45051.520,34432.469 44754.648,34319.371 44592.078,33980.090 44570.871,33718.559 44860.680,33591.328 45419.078,33237.922 45751.289,33181.371 45977.480,33372.219 46069.359,33393.422",-1,-1,-1,-1,-1,-1,-1
33709,"undefined","p53 signature","Polygon","39124.469,40004.191 39001.281,39830.590 38992.879,39715.801 39208.469,39584.199 39314.871,39413.410 39314.871,39169.820 39415.660,39043.820 39502.461,39066.219 39580.859,39225.809 39555.660,39438.609 39379.262,39671.000",-1,-1,-1,-1,-1,-1,-1
33710,"undefined","p53 signature","Polygon","41225.059,42316.461 41017.730,42327.672 40981.301,42047.488 40886.039,41520.738 40908.461,41377.852 41048.551,41411.469 41155.020,41929.809",-1,-1,-1,-1,-1,-1,-1
33711,"undefined","p53 signature","Polygon","41443.609,43947.129 41309.121,43885.488 41286.699,43619.320 41160.621,42986.102 41216.660,42781.570 41306.320,42803.980 41398.781,43482.031",-1,-1,-1,-1,-1,-1,-1
33712,"undefined","p53 signature","Polygon","37115.059,41221.949 36544.852,40985.840 35952.352,40375.531 36050.359,40277.520 36700.762,40807.648 37204.160,41110.578",-1,-1,-1,-1,-1,-1,-1
33713,"undefined","p53 signature","Polygon","37196.770,43677.070 36941.270,43581.609 37011.461,43444.039 37160.270,43261.539 37289.422,43466.500",-1,-1,-1,-1,-1,-1,-1
33714,"undefined","p53 signature","Polygon","36571.059,44084.699 36390.570,44134.250 35880.941,43798.031 35488.102,43727.250 35459.789,43486.602 35838.469,43419.352 36128.680,43479.520 36390.570,43716.641 36514.441,43844.039",-1,-1,-1,-1,-1,-1,-1
